manuscript_location,quantity,quoted,recomputed,status,source,note
"Abstract, S4.3, T3, T5, Concl.","GA mean gap, scale+thin (corrected GT)",1.47,1.4739,PASS,results/e4_nonrl_baselines_summary.csv,"config = GA(4,800 evals)+scale+thin; NOT the unrepaired GA"
"S4.3, T5","GA median gap, scale+thin",0.54,0.5396,PASS,results/e4_nonrl_baselines_summary.csv,
"S4.3, T2 ('noise floor')","GA mean gap, unrepaired (corrected GT)",1.72,1.72,PASS,results/e4_nonrl_baselines_summary.csv,"config = GA(4,800 evals), no operator"
T2 (pre-correction),"GA mean gap, unrepaired (original GT)",1.31,1.3129,PASS,results/ga_cost_summary.json,config = original costing + original ground truth
T1,none: mean gap,25.51,25.5117,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,pre-correction costing; 5 seeds
T1,none: '+-' value,6.06,6.0607,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,IS the 95% t-CI half-width over seeds (T5 uses sample SD instead)
T1,none: median gap,24.0,23.988,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,mean of per-seed medians
T1,none: EC3 evals/design (repair part),1.0,1.0,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,
T1,scale: mean gap,13.88,13.8836,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,pre-correction costing; 5 seeds
T1,scale: '+-' value,2.65,2.6446,PASS(1u),perplexity_docs/results/e0_repair_gated_merged_summary.csv,IS the 95% t-CI half-width over seeds (T5 uses sample SD instead)
T1,scale: median gap,13.1,13.177,PASS(1u),perplexity_docs/results/e0_repair_gated_merged_summary.csv,mean of per-seed medians
T1,scale: EC3 evals/design (repair part),18.0,18.0,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,
T1,scale+thin: mean gap,5.79,5.7873,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,pre-correction costing; 5 seeds
T1,scale+thin: '+-' value,0.82,0.8149,PASS(1u),perplexity_docs/results/e0_repair_gated_merged_summary.csv,IS the 95% t-CI half-width over seeds (T5 uses sample SD instead)
T1,scale+thin: median gap,5.0,5.04,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,mean of per-seed medians
T1,scale+thin: EC3 evals/design (repair part),73.0,72.65,PASS,perplexity_docs/results/e0_repair_gated_merged_summary.csv,
"T2, S3.5, S7.1, S7.4","best PPO arm unrepaired, corrected costing",30.15,30.1469,PASS,perplexity_docs/results/corrgt_gated_merged_summary.csv,5-seed transfer
"T2, S3.5, S7.1, S7.4","best PPO arm scale+thin, corrected costing",8.53,8.5336,PASS,perplexity_docs/results/corrgt_gated_merged_summary.csv,5-seed transfer
T2,change unrepaired (pp),4.64,4.6352,PASS,perplexity_docs/results/corrgt_gated_merged_summary.csv,
